Date,closing_price,High,Low,Open,Volume,wikipedia_sentiment,tomorrow_price,sentiment_score_y,lag_1,30_MA,RSI_14,26_EMA,12_EMA,MACD,MACD_signal,MACD_histogram,30_STD,Bollinger_upper,Bollinger_lower,composite_sentiment,sentiment_7day,sentiment_30day,sentiment_7day_volatility,sentiment_30day_volatility,target,price_change_percentage,price_volatility_7day,price_volatility_30day,sentiment_momentum,sentiment_7day_x_RSI_14,sentiment_30day_x_MACD
2019-01-31,3457.792724609375,3504.804931640625,3447.915771484375,3485.4091796875,5831198271,-0.1,3487.9453125,0.9998,,,,3457.792724609375,3457.792724609375,0.0,0.0,0.0,,,,0.4499,0.2546,0.10445296312888463,,,1,,0.0,0.0,0.15014703687111536,0.0,0.0
2019-02-01,3487.9453125,3501.9541015625,3431.591552734375,3460.547119140625,5422926707,-0.1,3521.060791015625,0.9998,3457.792724609375,,,3460.02624963831,3462.431584284856,2.4053346465457253,0.4810669293091451,1.9242677172365803,,,,0.4499,0.2546,0.10445296312888463,,,1,0.008720183739189086,0.0,0.0,0.15014703687111536,0.0,0.2512443311482694
2019-02-02,3521.060791015625,3523.287353515625,3467.57470703125,3484.6259765625,5071623601,-0.1,3464.013427734375,0.9998,3487.9453125,,,3464.5473267773705,3471.451462243436,6.904135466065327,1.7656806366603817,5.138454829404945,,,,0.4499,0.2546,0.10445296312888463,,,0,0.009494265405178998,0.0,0.0,0.15014703687111536,0.0,0.7211574072737463
2019-02-03,3464.013427734375,3521.38818359375,3447.92431640625,3516.1396484375,5043937584,-0.1,3459.154052734375,0.9998,3521.060791015625,,,3464.507778700112,3470.3071492420418,5.799370541929875,2.5724186177142805,3.2269519242155944,,,,0.4499,0.2546,0.10445296312888463,,,0,-0.01620175471744556,0.0,0.0,0.15014703687111536,0.0,0.6057614373869409
2019-02-04,3459.154052734375,3476.223876953125,3442.5869140625,3467.211669921875,5332718886,-0.1,3466.357421875,0.0884,3464.013427734375,,,3464.1112064063536,3468.591288240862,4.480081834508383,2.953951261073101,1.5261305734352817,,,,-0.0058,0.2546,0.10445296312888463,,,1,-0.0014028164443860877,0.0,0.0,0.15014703687111536,0.0,0.4679578226742899
2019-02-05,3466.357421875,3478.148193359375,3451.93701171875,3454.950927734375,5227549545,-0.1,3413.767822265625,0.0884,3459.154052734375,,,3464.277592737365,3468.247616492268,3.9700237549031954,3.15716575983912,0.8128579950640753,,,,-0.0058,0.2546,0.10445296312888463,,,0,0.0020824077305637533,0.0,0.0,0.15014703687111536,0.0,0.4146807448916996
2019-02-06,3413.767822265625,3469.091796875,3398.5654296875,3469.091796875,5482196038,-0.1,3399.4716796875,0.0884,3466.357421875,,,3460.5361282579765,3459.8661096881688,-0.6700185698077803,2.39172889390974,-3.0617474637175204,,,,-0.0058,0.2546,0.10445296312888463,0.0,,0,-0.015171430181290586,32.53315002675075,0.0,0.15014703687111536,0.0,-0.0699854249678001
2019-02-07,3399.4716796875,3427.945556640625,3394.218505859375,3414.929443359375,5004962683,-0.1,3666.7802734375,0.0884,3413.767822265625,,,3456.0128357712742,3450.574658918835,-5.438176852439028,0.8257477446399866,-6.263924597079015,,,,-0.0058,0.18950000000000003,0.10445296312888463,0.024605487192900677,,1,-0.0041877899501194076,41.54920299159483,0.0,0.0850470368711154,0.0,-0.5680336862561677
2019-02-08,3666.7802734375,3695.614013671875,3391.023681640625,3401.37646484375,7735623101,-0.1,3671.20361328125,0.0884,3399.4716796875,,,3471.625238561365,3483.837061152476,12.211822591110831,3.102962713934156,9.108859877176675,,,,-0.0058,0.1244,0.10445296312888463,0.05122040608976074,,1,0.07863239318839468,89.61659189853397,0.0,0.01994703687111536,0.0,1.27556105484578
2019-02-09,3671.20361328125,3679.94140625,3646.559326171875,3671.5859375,6158833645,-0.1,3690.188232421875,0.0884,3666.7802734375,,,3486.408821873949,3512.6626845569026,26.25386268295369,7.733142707738065,18.52071997521563,,,,-0.0058,0.059300000000000005,0.10445296312888463,0.07909557509747303,,1,0.0012063280354683613,114.40156832201379,0.0,-0.04515296312888463,0.0,2.7422937508133622
2019-02-10,3690.188232421875,3695.0361328125,3640.97998046875,3673.201416015625,6282256903,-0.1,3648.4306640625,0.0884,3671.20361328125,,,3501.503593025647,3539.97430730536,38.47071427971287,13.880657022133024,24.59005725757984,,,,-0.0058,-0.0058,0.10445296312888463,0.10535440190139182,,0,0.005171224791767111,131.31499640810782,0.0,-0.11025296312888463,0.0,4.018380100200704
2019-02-11,3648.4306640625,3695.613037109375,3642.287841796875,3695.613037109375,6277056434,-0.1,3653.528564453125,0.0884,3690.188232421875,,,3512.387079769117,3556.6599006526126,44.27282088349512,19.959089794405443,24.31373108908967,,,,-0.0058,-0.0058,0.10445296312888463,0.11275650757273387,,1,-0.011315836951756105,131.8282656785476,0.0,-0.11025296312888463,0.0,4.62442732735543
2019-02-12,3653.528564453125,3668.5869140625,3618.556884765625,3642.751953125,6480384532,-0.1,3632.070556640625,0.0884,3648.4306640625,,,3522.8420045605253,3571.5627720065377,48.72076744601236,25.71142532472683,23.00934212128553,,,,-0.0058,-0.0058,0.10445296312888463,0.1053544019013918,,0,0.0013972858086190203,127.35136531373774,0.0,-0.11025296312888463,0.0,5.089028525649292
2019-02-13,3632.070556640625,3669.74658203125,3617.246337890625,3653.60400390625,6438903823,-0.1,3616.880859375,0.0884,3653.528564453125,,65.60807111509149,3530.9330084183102,3580.871661950244,49.9386535319336,30.556870966168184,19.381782565765413,,,,-0.0058,-0.0058,0.10445296312888463,0.07909557509747295,,0,-0.00587322842396113,100.31649194495128,0.0,-0.11025296312888463,-0.3805268124675306,5.216240336077205
2019-02-14,3616.880859375,3646.256591796875,3607.69775390625,3631.170166015625,6271044418,-0.1,3620.810791015625,0.0884,3632.070556640625,,63.87032889468618,3537.299515896584,3586.4115384771294,49.11202258054573,34.26790128904369,14.844121291502034,,,,-0.0058,-0.0058,0.10445296312888463,0.051220406089760535,,1,-0.004182104127314712,24.69376177459982,0.0,-0.11025296312888463,-0.37044790758917984,5.129896283790693
2019-02-15,3620.810791015625,3647.795166015625,3608.20654296875,3617.368408203125,6091952231,-0.1,3629.78759765625,0.0884,3616.880859375,,62.13913304939683,3543.485536275772,3591.7037311753597,48.21819489958716,37.05796001115239,11.160234888434772,,,,-0.0058,-0.0058,0.10445296312888463,0.024605487192900212,,1,0.001086552693721876,26.799302962024324,0.0,-0.11025296312888463,-0.3604069716865016,5.0365333339879506
2019-02-16,3629.78759765625,3652.84130859375,3615.270263671875,3615.270263671875,5934744052,-0.1,3673.836181640625,0.0884,3620.810791015625,,60.39210177396931,3549.878281563215,3597.562787557035,47.68450599382004,39.18326920768592,8.501236786134122,,,,-0.0058,-0.0058,0.10445296312888463,0.0,,1,0.002479225554370113,25.24315052281234,0.0,-0.11025296312888463,-0.35027419028902196,4.980787946391563
2019-02-17,3673.836181640625,3680.537353515625,3619.18212890625,3633.359375,7039512503,-0.1,3915.71435546875,0.161577787733078,3629.78759765625,,70.56587664025163,3559.0603482356155,3609.297155877587,50.23680764197161,41.39397689454306,8.84283074742855,,,,0.03078889386653899,-0.0005730151619230009,0.10445296312888463,0.001975614569744775,,1,0.012135306212632696,20.27222932056652,0.0,-0.10502597829080763,-0.040435317229252296,5.24738341633973
2019-02-18,3915.71435546875,3936.6650390625,3669.982421875,3671.369873046875,9908216640,-0.1,3947.094482421875,-0.9761,3673.836181640625,,80.55377014307444,3585.479163586218,3656.438263506997,70.95909992077895,47.30700149979024,23.652098420988715,,,,-0.53805,-0.07660872944763729,0.10445296312888463,0.02716239414081825,,1,0.06583804009467549,106.89775827977705,0.0,-0.18106169257652194,-6.171121982877953,7.411888247683964
2019-02-19,3947.094482421875,4010.87939453125,3908.153076171875,3911.66162109375,9933626655,-0.1,3999.820556640625,-0.9761,3915.71435546875,,81.16330618933233,3612.2654834999694,3701.1546048785167,88.8891213785464,55.62342547554148,33.265695903004925,,,,-0.53805,-0.1526444437333516,0.10445296312888463,0.05796274087496415,,1,0.008013895832135715,146.2571727109697,0.0,-0.25709740686223626,-12.389127724830326,9.28473211791226
2019-02-20,3999.820556640625,4000.486328125,3926.246826171875,3946.68505859375,8693373948,-0.1,3954.1181640625,-0.9761,3947.094482421875,,87.98357027256081,3640.9732666955742,3747.103212841918,106.12994614634364,65.72472960970191,40.40521653664172,,,,-0.53805,-0.22868015801906585,0.10445296312888463,0.09056289001757897,,0,0.013358199164869779,173.2025435977331,0.0,-0.33313312114795046,-20.12009675301079,11.085587351694544
2019-02-21,3954.1181640625,4010.009521484375,3940.108154296875,4000.2568359375,7775128102,-0.1,4005.526611328125,-0.9761,3999.820556640625,,84.54183976874717,3664.16918501905,3778.951666875854,114.78248185680376,75.53628005912229,39.24620179768148,,,,-0.53805,-0.30471587230478014,0.10445296312888463,0.12153120271876168,,1,-0.01142611072945472,169.73416517839274,0.0,-0.4091688354336648,-25.761240451384744,11.989370345230592
